system:index,NDVI,date,.geo
0,0.26343519618368033,2000-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.2589928704968807,2000-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.3122952105460879,2000-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.43792341770947946,2000-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.3994411260313762,2000-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.40317384211151297,2000-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.4421000564883391,2000-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.4786221056880287,2000-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.5072633349877688,2000-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.4764479673814745,2000-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.42070761104403,2000-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.34021192297581015,2001-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.3021942385173459,2001-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.3182860196839838,2001-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.3924605366787918,2001-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.43198381514374046,2001-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.3109396089558608,2001-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.42517866868419774,2001-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.48487392139543806,2001-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.48438296995597985,2001-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.4759292265306055,2001-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.4626779435076351,2001-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.3876554836545997,2001-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.3365540395525284,2002-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.30518943643344654,2002-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.3320327850281733,2002-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.39348988285481096,2002-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.4044480741383076,2002-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.3746749435178109,2002-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0.40979970899338275,2002-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0.46490134329847327,2002-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.48611566156209723,2002-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0.47643920261069655,2002-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0.43328627238498163,2002-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0.3894735358597977,2002-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0.3725139076402038,2003-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0.3193501041810139,2003-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0.31379158964584847,2003-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0.3774776240057814,2003-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0.4169232344008327,2003-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0.4035853808867339,2003-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0.4028009683593288,2003-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0.47721403238037435,2003-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,0.4858973318707307,2003-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,0.47122828796603106,2003-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,0.42487648452111476,2003-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,0.4058742752679178,2003-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,0.35200418614658907,2004-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,0.32360094160389863,2004-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
